title,hour,price,location,subtitle,text
Aisha Bibi and Babaji Khatun Mausoleums,,,,"These two buildings, shrouded in legends, are located near the city of Taraz.","Aisha Bibi and Babaji Khatun Mausoleums are the jewels of the Jambyl Province. These are monuments of medieval architecture dating back to the 11-12 centuries.According to the legend, orphaned Aisha Bibi was Karakhan's beloved, but her guardian did not consent to the marriage, so the desperate girl ran away from home and soon received a deadly snake bite. Then grieving Karakhan erected a memorial tomb at the place of her death, but unfortunately there is no exact information about who was the architect. Babaji Khatun was a faithful fellow traveler and teacher of the deceased - she began to guard the mausoleum, and after her death she was buried beside Aisha.Aisha Bibi Mausoleum has a unique structure, being the only architectural monument in the country, fully lined with terracotta tiles. And the mausoleum of Babaji Khatun is peculiar for its outstanding ribbed umbrella-shaped dome, which is also unique for medieval architecture. Now the mausoleums draw a lot of travelers and pilgrims. There is always an "
 Mausoleums of Karakhan and Dautbek,,,,"A popular tourist destination, included in the list of the cultural heritage of Kazakhstan.","The Mausoleums of Karakhan and Dautbek are among the oldest religious buildings of this kind on the territory of Kazakhstan. According to legends, Dautbek, the commander-in-chief of the Karakhanid army, was the son-in-law of Shah-Mahmud Buhr Karakhan , therefore their tombs are not far from each other.Karakhan Mausoleum consists of central hall, small cells and a staircase that leads to the roof. In Dautbek Mausoleum there is also a gravestone in the form of a stepped pyramid, where the date of the Kazakh commander's death is indicated. Both monuments are under state protection, included in the list of the cultural her"
Ancient Taraz Historical and Cultural Center ,,,,It is a great place where you can learn about the history of Kazakhstan.,"The center is a 10 hectare open-air museum. Archaeological and research work have been carried out here for many years, shedding light on the history of the steppe civilization. Anyone can visit this unusual place to see and touch the artifacts of the past era, which were found during excavations. Among the exhibits there are centuries-old coins, household items and dishes, as well as petroglyphs. Ruins of a mosque, madrasas "
Historical and Cultural Center of the First President,,,,"It's an exhibition on the President Nazarbayev's life, work and invaluable contribution to the development of the Republic of Kazakhstan.","The Historical and Cultural Center of the First President was opened in 2011 in the town of Temirtau, Karaganda Province. Nursultan Nazarbayev has lived in Temirtau for several years. Visitors can familiarize themselves with documents and photographs telling about Nazarbayev's life, as well as about the history of independent Kazakhstan.The museum building catches an eye even from afar - it is a huge sparkling tent that resembles a yurt, traditional dwelling of the steppe people. The museum consists of 6 exhibition halls: ""In the flow of time"", ""Kazakhstan's way"", ""Steel Profile of Kazakhstan"", ""Personality Phenomenon"", ""Independent Kazakhstan"", ""Son of His Time"". Here, research activities are carried out. Events showing the scientific and cultural achieveme"
Begazy Burial Ground,,,,There are graves of tribal and religious leaders of the Bronze Age. ,"Begazy Burial Ground is one of the examples of archaic sights of the Karaganda Province. Tribal and religious leaders of the Bronze Age are buried there. Excavations are constantly being carried out here. So far clay vessels, jugs, weapons and animal bones were discovered. The Begazy Complex consisted of several buildings constructed in accordance with architectural tradition of that period. Granite mausoleums are square and their avera"
Bektau Ata Mountain Range,,,,"Bektau Ata is an ideal place for hiking, for its alien landscapes offer a magnificent view.","The Bektau Ata Mountain Range is located a few kilometers away from the town of Balkhash. The landscape is diverse: there are both mountains and deep gorges. Some rocks resemble particular figures, for instance, a mushroom, a chest, or a turtle. There are picturesque ponds in rock cavities. Hundreds of plants grow here.  This area is also a home for argali, jerboas, turtle doves and other animals. In Bektau Ata the deepest cave in Kazakhstan is located, but it is filled with w"
Lake Balkhash ,,,,"Whether you swim, fish or simply rest on its shores, you’ll be wowed by the beauty of this lake.","Lake Balkhash is one of the largest lakes in Kazakhstan. Its eastern part is saline, and the western one is fresh. The lake is surrounded by somewhat harsh yet picturesque places: Betpak- Dala Desert, the Chu-Ili Mountains and the Taukum Desert. The climate here is continental, so summer is always hot and sunny - perfect weather to hit the beach.There are recreation areas with comfortable rooms and houses with all the necessary infrastructure as well as a large variety of entertainment for fans of sailing, canoeing and fishing. Warm turquoise water, bright sun - Lake Balkhash is beautiful at any time of the year. With the perfect weather and combination of outdoor activities, Balkha"
"Mausoleums of Jochi Khan, Alasha Khan, and Dombauyl",,,,These are important historical monuments of medieval architecture of Kazakhstan.,"The Mausoleum of Jochi Khan was erected at the burial site of Jochi, Genghis Khan's first-born son. The mausoleum has a rectangular shape, and includes an arch and a double turquoise dome. Its architectural composition is simple and somewhat minimalist.The rectangular-shaped Mausoleum of Alasha Khan is made of bricks and wood. There are several legends regarding Alasha Khan, but many scholars agree that this man was rather a legendary character, not a historical one. His name is associated with the unity of the Turkic people. The front side of the mausoleum is decorated with terracotta tiles, and the walls are adorned with geometric ornament.The Mausoleum of Dombauyl, with its yurt-like structure, is no less interesting from the architectural point of view. There are also many theories about Dombauyl. Many assume that he was a folklore hero. The intricate mausoleum is made of sedimentary rocks and has a very strong foundation, which is not typical for such buildings in the region.All three mausoleums are the cultural and histori"
Karkaraly National Park,,,,"There are picturesque lakes, forests, springs with healing water and, of course, it is rich in wildlife.","Karkaraly National Park, founded in 1998, is located in the east of the Karaganda Province. The park's lakes, rivers, and forests are striking in their beauty. The reserve occupies the terrytory of more than 90 hectares. There are five massive mountain ranges: Airtau, Buguly , Kent, Maten, and Shankoz. The highest peaks are in the Kent Mountains and are approximately 1,400 meters (4500 ft) high. Lakes Baseyn and Shaitankol are the park's most famous. Trekking routes to them are very popular among tourists.Another place of interest is the Kyzyl-Kent Palace, which is of great spiritual importance for Kazakhstan. The palace resembles a Buddhist temple, therefore it arouses considerable interest among historians and religious scholars. The park is a fascinating ecosystem filled with hundreds of species of animals. There are endangered species, such as argali, golden eagles, black storks, steppe vipers. The park’s flora consists of relict trees, and numerous rare plants. There are even a sphagnum bog covered with a dense layer of moss. Karkaraly National Park is an ideal place for trekking. And clean mountain air and healing water "
Mausoleum of Ybyrai Altynsarin,,,,"Ybyrai Altynsarin was a prominent scientist, educator and ethnographer.","In the city of Kostanay, there is a memorial of Ybyrai Altynsarin, a major figure in Kazakh history. He was a scientist, educator, ethnographer, writer. The monument, made of red granite, was opened in 1970. Later, in 1991, a memorial museum was founded, and a mausoleum was erected over the scientist's grave. The museum consists of two parts: a one-storey building that serves as a copy of the school, where Ybyray Altynsarin studied; another one is a two-storey building similar in shape to a yurt (Kazakh national dwelling), where exhibitions are held. About 12 thousand valuable items are displayed there, including his own book and personal belongings of the Altynsarin family. The museum regularly hosts fa"
 Aral Sea,,,, The Aral Sea is a sad reminder of what can happen if we intervene in nature.,"We don't appreciate what we have until it's gone. This phrase fits the situation with the Aral Sea perfectly. In recent decades, much of the water which used to flow into the Aral Sea has been taken for growing crops. As a result, the sea has shrunk dramatically. Although this is the region of ecological disaster, you can still admire the landscape, especially salt pans sparkling in the sun.Now the Aral Sea is divided into two parts - the Big Aral and the Small Aral, where fishing is done. Many phytoplankton species live in the sea. People rarely swim here, mainly for the purpose of health improving (the water contains some salts that have beneficial effect on the body).Currently, attempts to restore the sea are made, mainly by improving quality of irrigation canals,"
 Barsakelmes Nature Reserve ,,,,Barsakelmes is a home for rare and endangered animals.,"Barsakelmes Nature Reserve, established in 1929, is located on a mysterious island of the same name and is one of the most unusual reserves in Kazakhstan. Barsakelmes covers an area of 160 hectares. On its territory research work is constantly carried out: climate change analysis, the search for the causes of desertification, and the study of the relief and the biosphere formation.Some rare animals and plants thrive in the reserve. The local flora numbers 278 species of plants, including colorful tulips, Calligonum, and saxaul. The fauna includes a large number of invertebrates, reptiles, birds and 28 species of mammals, including endangered ones.In Barsakemes Reserve there is a large library. Joint research with the institutes is regularly conducted on its territory, aimed at maintaining an"
Ancient City of Sighnaq,,,,Today it is an open-air museum that attracts travelers from all over the world and introduces them to Kazakh historical and cultural heritage.,"Sighnaq (also known as Syganak) is a major historical landmark of Kazakhstan. It is included in the tentative list of UNESCO World Heritage Sites. The city was first mentioned in written sources in the 10th/11th century, stating stating it was the town of the Oghuz. In the Middle Ages Syganak was the capital of Kipchak Khanate, the headquarters of the White Horde and the center of the Kazakh Khanate. Excavations on its territory were conducted at the beginning of the 21th century. Ruins of many buildings of medieval architecture were discovered, as well as ceramic vessels, millst"
 Lake Kamystybas,,,,It's popular among beach-goers and fishermen.,"Lake Kamystybas (also known as Kambash), is located in the Kyzylorda Province. Its surface reflects the surrounding landscapes and weather. When the sun shines brightly, the lake is blue and shiny, and if the sky is clouded, Kambash turns black. Its soft sloping bottom, clean sandy beaches, and sunny weather attract a lot of people on its shores.In addition, local residents believe the lake's water has healing properties. They claim that swimming here significantly improves health and mood. The lake offers great opportunities for fishing: there are carp, pike, wels catfish, crucian carp, and bream. If you are not much of a fisher, then you can rest on a beach or ta"
 Korkyt Ata Memorial,,,,Korkyt Ata was an outstanding poet and composer,"Korkyt Ata Memorial, founded in 1980, is located beside Korkyt railroad station, near the village of Josaly, Kyzylorda Province. The complex was erected in this place for a reason: here, on the bank of the Syrdarya River, Korkyt, a famous Turkic poet and composer, was born. The monument consists of four vertical steles, made of reinforced concrete. Its height reaches 8 meters (26 ft). Each stela faces a different cardianl point. In the upper part of the steles, where they expand, there is a metal organ consisting of 40 pipes. At the slightest whiff of the wind, the organ makes sounds similar to playing kobyz (a national Kazakh musical instrument). Inside the monument there is an arch, which stands above the central axial symbol. Its decorated with “Tuye Taban” ornament, which translated from Kazakh means “camel's footprint”. It sympolyzes the magical camel, allegedly belonging to Korkyt Ata.This place is especially attractive for those interested in Kazakh national music, because Korkyt Ata left many works that have become an invaluable musical heritage of Kazakhstan.Photos provided by the Department of Entrepreneurship a"
Baikonur Cosmodrome ,,,,Mankind has always been interested in space and what lies beyond.,"The Cosmodrome is the world's first and largest operational space launch facility. It was founded in the 1950s. It is known that the first human spaceflight was launched from here. Feel free to watch the video below, English subtitles are available.Now, at the Baikonur Cosmodrome guided tours are held for tourists. You can see the launches of both manned and non-manned spacecraft, walk around the Site 1, known as “Gagarin’s Start”. Visitors have a unique opportunity to observe the spaceport's interior and equipment, and its museum will re"
Beket Ata Underground Mosque,,,,"This is the final resting place of the great religious leader and educator.
","Beket Ata Underground Mosque is associated with the name of Beket Myrzagululy, an Islamic mystic who is revered as a saint by Sufi Muslims. Every year hundreds of pilgrims come here to commemorate him. They all notice the miraculous energy prevailing within the walls of the mosque.
The mosque consists of four rooms carved into the rock. Beket Ata is buried in one of them. The tomb of his sister Akkuash is in the next room, which only women are allowed to enter. When you are ready to leave, remember not to turn your back to the graves, so as not to offend the spirits of the people buried here.
Beket Ata Underground Mosque is a place resplendent with grace, where everybody can feel peace and harmony. It is worth visiting at least once.
Video about Beket Ata Underground Mosque

Useful tips for 2020-2021
How to get there
Beket Ata Underground Mosque is located in Mangystau Province, 290 km away from the city of Aktau. A good paved road leads to the mosque, so getting there shouldn’t be a problem. If you’re driving from Aktau, first head to the village of Jetibay, then pass through the city of Janaozen. After another 25 km (15.5 mi) you will find the village of Kyzylsay, the nearest settlement to the Beket Ata Mosque. From there follow the signs indicating that you are moving towards Beket Ata Mosque. Before reaching the mosque you’ll see another landmark – Shopan Ata Underground Mosque. Pilgrims always stop here for prayer before proceeding to Beket Ata Mosque.
Food and accommodation
You can have a bite in the nearby roadside cafes catering to tourists and pilgrims. There is also a guest house, where all guests, both pilgrims and tourists, gather around a dastarkhan (a traditional low dining table). Everyone brings his or her own treats. There are also two spacious sleeping rooms - one for men, and another one for women. You can spend the night th"
 Karagiye Trench,,,,"This 132 m (433 ft) deep trench is one of the many amazing sites of Mangystau Province.
","Karagiye is the deepest trench in the post-Soviet territory, located 50 kilometers (31 mi) away from the city of Aktau in Mangystau Province. Translated from Kazakh its name means “The Black Slope.” The locals sometimes call the trench “Batyr,”  which translates to “Warrior.” This bowl-shaped hollow appeared after the collapse of the soil’s upper layers. Oddly enough, rain clouds frequently form here. From May to September, when the air temperature reaches maximum levels, hot air rises from the bottom of the trench, condensing in the upper atmosphere and forming rain clouds. This area is home to caracals, manuli, monitor lizards, scorpions, and two-colored larks.
Useful tips for 2020-2021
How to get there
If Aktau is the starting point of your trip to Karagiye then follow the Aktau-Janaozen road, which runs right through its bottom area. Feel free to stop and explore the variety of destinations nearby. For example, Lake Batyr, the water level of which varies depending on the season, is located nearby. For a better experience we recommend that you contact a travel agency and book a tour.
Food and accommodation
When traveling around Mangystau, it is best to have everything you may need with you. Be sure to stock up on water, food, and gas. There are only cafes and hotels in the cities of Aktau and Janaozen, but if you are going on a multi-day trip, then be ready"
Shopan Ata Underground Mosque ,,,,"This mosque is a historical and cultural heritage of Mangystau Province and all of Kazakhstan.
","Shopan Ata Underground Mosque is associated with the name of the revered sage who once became a mentor for Beket Ata (a prominent religious leader and educator). Today there is an unspoken rule for pilgrims to stop at Shopan Ata before visiting Beket Ata Underground Mosque. The mosque is carved inside a rock and consists of 12 rooms. There are rooms for religious rituals and educational activities. In addition, there is a tomb of Shopan Ata and halls for pilgrims.
Video about Shopan Ata Underground Mosque

Useful tips for 2020-2021
How to get there
Aktau is the nearest city to the mosque, being 218 km (135 mi) away. A good paved road leads to the mosque, so getting there shouldn’t be a problem. If you’re driving from Aktau, first head to the village of Jetibay, then pass through the city of Janaozen. After another 25 km (15.5 mi) you will find the village of Kyzylsay, the nearest settlement to the Shopan Ata and Beket Ata Mosques. From there follow the signs indicating that you are moving towards Beket Ata Mosque. Shopan Ata Underground Mosque is easy to see from the highway. After your visit, drive 70 km further to Beket Ata.
Food and accommodation
You can have a bite in roadside cafes catering to tourists and pilgrims. There is a guest house near Beket Ata Mosque, where all guests, both pilgrims and tourists, gather around a dastarkhan (a traditional low dining table). Everyone brings his or her own treats. There are also two spacious sleeping rooms – one for men, and another one for women. You can spend the night th"
Tamshaly Canyon,,,,"It's an oasis, where you can admire breathtaking landscapes.","The Tamshaly Canyon is located near the town of Fort Shevchenko in the Mangystau Province. The canyon is famous for the lake with fresh water and a waterfall, that adds to the beauty of this place. Here you can see a unique phenomenon - groundwater seeping through cracks in the cliff creates the illusion of rain. The Tamshaly Canyon offers a variety of entertainment for fans of outdoor activities. Having visited this place, you will get an unforgettable experience. And its amazing views will inspire new exciting adv"
Jygylgan Hollow,,,,Here you will see stunning landscapes created as a result of a natural cataclysm.,"Jygylgan Hollow (also spelled as Zhygylgan Hollow) is an amazing place in the Mangystau Province. Its name means “fallen land”. Scientists are split on the origin of the hollow, but most think that the rocks were washed, creating the basin. Others assume that a meteorite has fallen here in prehistoric times. Near the hollow the shore of the Caspian Sea lies. Inside the hollow, one can see ancient rock paintings and fossils of Neogene animals such as prehistoric horses and saber-toothed tigers. There are deep caves, some of the rocks resemble particular figures. For a trip to the Jygylgan area you are advised to drive a"
 Torysh Valley,,,,"A valley, strewn with perfectly spherical stones, is a magnificent view.","The legend explains the origin of these bizarre boulders this way: a foreign army once invaded this area. People prayed, and their powerful prayer turned the invaders into spherical stones. Scientists divided on the origin of the stones, still putting forward theories. The unique boulders have always surprised people, drawn a lot of attention and sparked imagination. Despite them being globular, each stone is unique in its shape. Together they create a grandiose landscape. Once you"
Shalday Pine Forest,,,,"This vast ""sea of trees"" is a perfect place to escape from hectic city life and contemplate beautiful nature.","Shalday Pine Forest is an invaluable natural treasure of the Pavlodar Province. This dense forest stretches for 150 thousand hectares. It is home for rare subspecies of a squirrel - teleutka squirrel. It is larger and more fluffy than an ordinary one. The memory of the trip to the Shalday Pine Forest will remain forever and, most likely, will encourage yo"
Mashkhur Jusup Kopeyev Mosque,,,,"It is an inspiring place that will not leave anyone indifferent, regardless of religion.","The mosque was erected in honor of Mashkhur Jusup Kopeyev, famous scientist and poet, who was even recognized as a saint.   This mosque is one of the largest religious buildings in Kazakhstan. It is the main mosque of Pavlodar, located in the center of the town. In its architectural concept the traditions of Islam and the national Kazakh motifs are mixed. Magnificent minarets and a bright blue dome shaped like a shanyrak (a main part of a yurt) complement the town's skyline. The mosque is a two-storey building: on the first floor there is a library, a museum and main prayer hall, while on the second floor there is a wedding hall, women's prayer h"
Yertis Jagalau Nature Reserve,,,,"Located on the Irtysh River coast, it is one of Kazakhstan's most incredible reserves.","Translated from the Kazakh language, ""Yertis Jagalau"" means ""The Irtysh Coast”, because it is located on the Irtysh (Ertis) River floodplain and extends along both banks of the river. The floodplain of the Irtysh River is a unique area, which is divided into three parts: upper, central, and lower. Each part of the floodplain is different in water, relief and soil composition. There are groves and forests where white willow, silver birch, black and white poplar grow. The is home for 20 species of fish, 105 species of birds and 55 species of mammals, among which there are foxes, roes, elks, ground squirrels, and rodents. Pavlodar Province, and Yertis Jagalau Nature Reserve in particular, do not cease "
Kyzyltau Nature Reserve,,,,"This picturesque place has become home to many plants and animals, including those on the verge of extinction.","Kyzyltau Nature Reserve is located in the Bayanaul area and occupies 60 thousand hectares of territory. Kyzyltau Mountain is the highest peak in Bayanaul area. This picturesque place has become home to many species of plants and animals, including endangered ones: foxes, wolves, badgers, steppe polecats, argali, golden eagles, and partridges. There are rocky hills and slopes covered with juniper trees. Thickets of achnatherum, birch and aspen forests grow in the valleys.Kyzyltau Nature Reserve offers countless opportunities to contemplate the overwhelmingly beautiful nature and climb the picturesque mountains. Without a doubt, you will fall under the "
Bayanaul National Park,,,,"Landscapes of incredible beauty with high cliffs, dense pine forests, and clear lakes will make you fall in love with Bayanaul National Park.","Bayanaul National Park, located in Pavlodar Province, was founded in 1985, making it Kazakhstan's first national park. The park is an oasis in a semi-desert environment. There are 6 lakes, with 3 of them (Jasybay, Sabyndykol, and Toraigyr) being the most popular among travelers due to their developed infrastructure. Bayanaul National Park encompasses many historical sites: Kempirtas, Naizatas, and Saimantas Rocks, ancient rock paintings, and the grave of Jasybay Batyr, a legendary Kazakh warrior.
The high season, when you can swim in the lakes and go hiking, is from May to September, but even in winter you won’t be bored here. Many recreation centers offer winter activities which include skiing and snowboarding.
Bayanaul National Park is shrouded in legends and beliefs. Its magnificent nature will certainly help you beat stress, and take a break from the hustle and bustle of everyday life.
Video about Bayanaul National Park
Useful tips for 2020-2021
How to get there
The city of Ekibastuz, which is the nearest city to Bayanaul Park, is 100 km (62 mi) away. You can go to Ekibastuz by train and then take a bus or a taxi that will take you to Bayanaul.
The nearest airports are in Pavlodar and Karaganda. After landing you can go to the park by bus or taxi,  but the drive  will take a long time as Pavlodar and Karaganda are 230 km (143 mi) and 260 km (162 mi) away respectively.
Food and accommodation
There are many hotels and guesthouses in the park so finding a place to stay shouldn’t be a problem. Cafes and sho"
Weeping Сave in Mashat Gorge,,,,"Mashat Gorge is known for its caves, with the Weeping Cave being the most famous and fascinating.
","Many landforms with an unusual structure and appearance are shrouded in legend. The Weeping Cave, located in Turkistan Province, is no exception. For many centuries it has been associated with the legend of the young beauty Mashat. When she was a child, Mashat was promised to an elderly rich man. However, when she came of age, she fell in love with a poor horseman. Mashat could not bear the idea of marrying the old man, so she threw herself off a mountain and turned into a river. Her beloved man turned into a rock by the river near the Weeping Cave.
Useful tips for 2020-2021
How to get there
You can visit the cave with a tour that you can book in a travel agency in Shymkent. If you intend to go on a trip on your own, then drive along the Shymkent-Tyulkubas highway until you reach the village of Kershetas located 30 km (19 mi) away from Shymkent. Enter the village and drive to the first T-shaped intersection. Then turn right and drive along the paved road to the canyon. In the Mashat gorge, there are several tourist camps – former Soviet Young Pioneer camps that have been remade into places you can stay. Be advised that the Weeping Cave is located on the territory of a recreation area, so you will have to pay to enter.
Food and accommodation
You can stay in one of the tourist camps, or you can go to Shymkent for a more comforta"
Bukey Horde Historical Museum,,,,This museum began its work in the 1960s on land formerly known as Bukey Horde.,"Bukey Horde Historical Museum is located on the territory, which in the 17th century was the headquarters of Jangir Khan, the last khan of the Bukey Horde. The complex includes four museums. They are dedicated to the history of the Bukey Horde, the history of the first school of Kazakhstan. Armory of the Khan's palace is also displayed here. Moreover, there are mausoleums of singer Dauletkerey Shygayuly, enlightener Mohamed Salyk Babajanuly and Jangir Khan. The Bukey Horde Historical Museum is on the list of protected objects of the Republic of Kazakhstan and is of great interest to residents and gue"
Cathedral of Christ the Savior,,,,"Uralsk residents call this cathedral ""golden"".","The cathedral was founded in 1891 in the presence of the future Emperor Nicholas II, who was returning to St. Petersburg from the East. It was designed by Vladimir Chagin, a St. Petersburg architect. The painting was carried out by the Ukrainian icon painter A. Menzak. After sixteen years of construction, the church was consecrated in 1907. In Soviet times, the the church was turned into a museum of atheism (in Soviet Union religion was banned). A planetarium was organized under one of the domes. In November 1990, a rally was held demanding the reopening of the Cathedral of Christ the Savior and resuming religious services.A large bell named Svyatoslav, made in Moscow at the expense of businessman Valery Surkov, was installed in October 1995.The oldest Sunday school"
St. Nicholas Russian Orthodox Church,,,,There are the miraculous icons of St. Nicholas and Virgin Mary.,"The Church of St. Nicholas the Wonderworker is located in the city of Uralsk. It was built in the late 1850s, however, the building has not been preserved in its original form. It was rebuilt after a fire in 1900.There are old icon paintings located under the dome. They were discovered at the end of the 20-th century during the restoration. Now this place is considered holy. Here one can see the miraculous icons "
West Kazakhstan Regional Mosque,,,,The newest of the three existing mosques in Uralsk.,"The new mosque in the town of Uralsk was opened in November 2005. The mosque can hold 1,500 people at a time. Several countries contributed to its construction.  The dome above the main hall was assembled from stained-glass windows made in Italy. The carpets are from France. White marble, used in the decoration, was brought from China. In the cold season, the heating system is"
West Kazakhstan Museum of Local History,,,,"It displays archaeological finds, art objects, and scientific discoveries belonging to different stages of the history of Kazakhstan.","West Kazakhstan Museum of Local History was opened in 1836 in the city of Uralsk. Today there are more than one hundred thousand showpieces. The museum consists of 8 halls, dedicated to different eras. There are exhibits of the Paleolithic era, and the oldest of them date back to the 5th century BC. Other halls demonstrate medieval weapons and portraits of Kazakh khans. The hall dedicated the the Soviet Era familiarizes visitors with the main events of the 20th century. The hall that is devoted to the history of independent Kazakhstan displays documents and photographs that tells the story of the country's independence establishment.West Kazakhstan Museum of Local History often organizes cultural events, hosts interesting lectures, e"
"Manor of Aiganym, Shoqan Walikhanov's grandmother",,,,The estate of the prominent Walikhanov family,"Shoqan Walikhanov was a great scholar, ethnographer, and historian. His grandmother, Aiganym, played an important role in the upbringing of the future scientist. The Walikhanovs' estate, which is now a museum, is a historical and ethnographic site located in the village of Syrymbet. Unfortunately, the original estate has not been preserved. However, it was restored according to Russian architectural tradition of the 19th century. On the estate's territory there are a mosque, a madrasa (an Islamic school), a guest house, and a barn. This place doesn't feel like a museum, but like a real manor of the 19th century.The museum regularly hosts various exhibitions, and lectures. Feel free to visit it and witness the life of the "
Ablai Khan's Residence,,,,"Ablai Khan was a great ruler of the Kazakh Khanate, he had a tremendous impact on the unification of people and the formation of the Kazakh statehood. ","Ablai’s biography is the source of a vast amount of important historical data about Kazakhstan of the 18th century. His ideas about political and territorial independence, and maintaining unity are the priorities of the modern state. That is why it is so important to preserve his historical and cultural heritage. Ablai Khan's Residence, located in Petropavlovsk, does exactly that.The purpose of the museum is the presentation of the life and work of Ablai Khan. The museum consists of 4 halls. In the first one there are materials about Khan's childhood and youth. The second hall shows the traditional Kazakh dwelling, where Ablai had lived. In the third one you will see household items, weapons, clothes and, of course, the figures of the Khan himself. The fourth room will acquaint visitors with the personality of Ablai Khan and some aspects of his work as a ruler and a diplomat.The Ablai Khan’s Residence is a great destination for an inquisitive traveler a"
 Imantau-Shalkar Resort Area,,,,"You will have the opportunity to relax, gain strength, and improve your health. ","Imantau-Shalkar Resort Area is located near Lakes Imantau and Shalkar in Northern Kazakhstan Province. There are numerous recreation centers that offer a lot of opportunities for hunting, fishing, and hiking. Currently, active work is underway to promote sports tourism and traveling in a motorhome.The Imantau-Shalkar Resort Area has all the necessary infrastructure and the service is constantly improving. You are very welcome to spend your vacation here.
Vid"
