title,url,hour,price,location,subtitle,text,label_cat
"""Ailand"" отбасылық демалыс орталығы ",https://kazakhstan.travel/tourist-spot/kk/181/ailand-kktertainmkkt-ckkter,12,3700.0,Нұр-Сұлтан,"Шолу шеңбері, Мұхитарал, Аквапарк, Джунгли","""Ailand""- елорданың басты ойын-сауық орталығы десек, еш жаңылыспаймыз. Себебі, мұнда үлкенді-кішілі әрбір қонақты ұмытылмас әсерлер күтіп тұр. Орталықтың ауқымдылығы көз көргенді бірден таң қалдырары анық. Мұндағы биіктігі 65 метрге тең еліміздегі ең үлкен шолу шеңбері конционерлер мен жылыту жүйесімен жабдықталғандықтан, астананың көркін биіктен тамашалауға ниетті келушілерді жыл бойы қабылдап, қуантып келеді. Орталықтың тағы бір мақтанышы -  әлемдік мұхиттан 3000 шақырым қашықтықта орналасқан мұхитарал. Ол 20 аквариумды біріктіретін 3 көрме залынан тұрады. Оған қоса, Юра кезеңіндегі динозаврлар әлемі жасырылған ""Джунгли"" театрлық жобасының да сыйлар естеліктері тым жарқын болмақ. Қаладағы ғимарат ішінен салынған ең ірі аквапарк та осы ""Ailand""-те. Әдетте, көңіл-көтеремін деушілер іздеген игіліктерін толқынды хауыз бен судағы ойын алаңдарынан тауып жатса, жанын тынықтырып, денін сауықтыруға келгендер қуана-қуана жайлы да заманауи SPA қызметіне жүгінеді.""Ailand""-тегі алғашқы демалысыңыз - осы орталықта өткізбек арайлы күндеріңіздің ұзақ тізбегінің бастамасы болмақ. Бұл жерге келген сайын, қай",14
"""Атамекен"" этно-мемориалдық кешені",https://kazakhstan.travel/tourist-spot/kk/180/atamekkk-ethno-memorial-complex,4,600.0,Нұр-Сұлтан,Қазақстандағы барлық айтулы көрнекті орындардың кішірейтілген нұсқалары осы кешенде орналасқан,"Қазақстан Республикасы жер аумағы бойынша Әлемдегі ең ірі мемлекеттердің алғашқы ондығына кіреді. Демек, осынау ұлан-ғайыр даланың бар кереметіне көз жеткізу үшін мыңдаған шақырымдық жол, ондаған күндік сапарға аттануға тура келеді.  Елорданың төрінен орын тапқан ""Атамекен"" этно-мемориалды кешенінде серуендеп жүріп, Қазақ жерінің барлық тарихи, мәдени, сәулет игіліктерімен танысып, тамашалап қайтуға болатыны, ерекше қуантарлық жайт.Кешеннің атауы да ата-бабамыз мекен еткен асыл жер деген ұғыммен астасып жатыр. Екі бірдей футбол алаңының аумағын алып жатқан кешенде Қазақстандағы ең көрнекті деген 200-ден астам сәулет нысандары мен тарихи ескерткіштер, ормандар, таулар мен төбелер кескінделген. ""Атамекен"" кешенінің барлық мақсат-мүддесі қазақ мәдениетінің жауһарларын сақтап, қоғамға танытуға бағытталған. Қазақстанның бедерлі картасында ареналы форум аймағы жасақталған. Мұнда көптеген іс-шаралар ұйымдастырылады. Қызықты да танымды демалыс өткізгіңіз келсе",16
ҚР Қарулы күштерінің Әскери-тарихи мұражайы,https://kazakhstan.travel/tourist-spot/kk/186/military-history-museum,2,0.0,Нұр-Сұлтан,Түрлі дәуірлердің тарихы жайлы сыр шертетін әскери жәдігерлер сақталған бірегей мұражай.," Әскери-тарихи мұражай еліміздегі техникалық жабдықтамасы ең озық мұражайдың бірі. Ол бірегей экспозицияларымен туристерді таң-тамаша қалдыратын бірнеше залдан тұрады. Мұражайда орнаған күй-жайды сөзбен айтып жеткізу мүмкін емес. Себебі, шеберлердің тыңғылықты еңбегі нәтижесінде, келушімен қауышқан жәдігерге жан біткендей сезіледі. Ал сондай ""тірі"" жәдігерлердің ұзын саны 6000-ға жетеді. Мұражайдағы не нәрсе жайлы айтсаңыз да: хаттар, құжаттар, әскери қару-жарақ, барлығы да Қазақстанның ежелгі замандардан бүгінгі күнге дейінгі тарихын бейнелейді, баяндайды. Қалауыңыз болса, кей жәдігерлерді қарап қана қоймай, ұстап көруге де рұқсат етілген. ҚР Қарулы күштерінің Әскери-тарихи мұражайы соғыстың  зардап-залалын ұғынып, батыр бабаларымызды ұлықтап, тағылымды тарихымыз жайлы тың мәліметтермен таныс",73
" ""Астана-Бәйтерек"" монументі",https://kazakhstan.travel/tourist-spot/kk/175/bayterek-tower,2,500.0,Нұр-Сұлтан,"""Бәйтерек"" - қазақ халқының тарих тұңғиығынан бастау алған ұлттық болмасын, бүгінгі дамуға деген тынымсыз талпынысы мен жарқын болашаққа деген риясыз сенімін сабақтастырған елдігіміздің нышаны","Еліміздің жүрегінен орын тапқан осы құрылыстықа Елбасы Н.Ә. Назарбаев: ""Бәйтерекке көтерілген әр адам Қазақстан даласының кеңдігін бойына сіңіреді"",-деп сипаттама берген. ""Бәйтерек"" - қайталанбас елордамыздың бас рәмізі, ең танымал бірегей құрылысы. Көне түркі аңыздарынан бастау алған сәулет жауһары Нұр-Сұлтан қаласының тұрғандары мен қонақтарына қазақ мәдениетінің таңқаларлық қырларын танытады.Бұл әсем ғимарат өткен күн мен болашақтың бүгінгі күн арқылы сабақтасып жатқанын білдіреді. Маңызы мен салтанаты үйлескен ""Бәйтеректі"" өз көзіңізбен көргеннен-ақ, ойыңызды",0
" ""Қазақ елі"" монументі",https://kazakhstan.travel/tourist-spot/kk/176/kazakh-eli-monumkkt,1,0.0,Нұр-Сұлтан,Еліміздің егемендігін арқау еткен ескерткіш,"Тәуелсіздік алаңының қақ ортасында бой түзеген ""Қазақ елі"" монументі Нұр-Сұлтан қаласының көрнекті орындары қатарын толықтырғалы ұзақ уақыт өткен жоқ. Бұл - әр қырына Қазақстан Республикасының қалыптасу тарихындағы елеулі оқиғалар бедерленген ақ мәрмәрдан соғылған төртбұрышты іргетасқа орнатылған ақ мұнара. Еліміз тәуелсіздік алған кез - 1991 жылға сәйкестендірілген құрылыс биіктігі 91 метрге тең. ""Қазақ  елі"" кешені - егемендігіміздігімізбен қатар, тарихымыз бен мәдениетімізді әуелетіп тұр. Ал мұнараның ұшар басына қонған Самұрық құс Қазақстанның үздіксіз өсу мен дамуға",4
Бейбітшілік және келісім сарайы ,https://kazakhstan.travel/tourist-spot/kk/177/palace-of-peace-and-reconciliation,3,650.0,Нұр-Сұлтан,Халық достастығының және дін еріктілігінің символы,"""Пирамида"" сөзін ести салысымен, көз алдымызға бірден Мысыр елі елестейді. Дегенмен, елордамыз да ұлттарды біріктіріп, діндерді келістірген ерекше ""пирамида"" бар. Ол - Бейбітшілік және келісім сарайы. Әйгілі британ сәулетшісі Норман Фостердің жобасымен салынған ғимарат концерт залы, мәжіліс залы, көркемөнер галереясы сияқты бөлімдерден тұрады. Сарайдың ерекше ішкі безендірілуі де келушілердің назарын аудармай қоймасы анық. ҚР Тұңғыш Президенті бастамасымен, діни келіспеушіліктер нәтижесіндегі халықаралық қақтығыстарды болдыртпау мақсатында ұйымдастырылған Әлемдік және дәстүрлі діндер көшбасшыларының съезі алғаш рет дәл осы сарайда өткізілген.Ұлтаралық достастық пен дінаралық келісімді арқау еткен ""Пирамида"" түнде ерекше жарқырай түседі. Оның ұшар басында тоғысқан жарық сәулелері халқымыздың ұлттық бірлікке ",50
 Нұр-Сұлтан қаласының орталық жағалауы (Есіл өзені),https://kazakhstan.travel/tourist-spot/kk/178/the-ishim-river-embankmkkt,3,0.0,Нұр-Сұлтан,Нұр-Сұлтан қаласының тұрғындары мен қонақтарының сүйікті демалыс орны,"Есіл өзенінің жағалауы - елордалық жұрттың ең сүйікті демалыс орны десек артық айтпаймыз. Есілдің ерке толқындарына сүйсініп, қаланың мың құбыла жарқыраған көріністеріне тамсанып, музыкалық аспаптарын серік еткен қала дарындарының  әсем әуен, сазды әндерімен құлақ құрышын қандырып, суретшілердің көркем туындыларын тамашалап, керемет серуен құратындарыңыз айдан анық. Жаздың күні катермен шолу экскурсиясына шығып, балдырғандарды түрлі аттракциондарға апарып қуантып жатсаңыз, қыста коньки мен шананы іліп алып, мұз айдынында ұмытылмастай көңіл көтеруге болады. Бұл жағалауда мәңгілік қарсылықтағыдай көрінетін жанға сая болар тыныштық пен думанды тіршілік жарасымдылық тапқан. Жалғыз, отбасыңызбен немесе достарыңызбен серуенге шықсаңыз да, мұнда өткізген уақыт сізге бақыт сыйлайтынына күмәніңіз болмасын. Түн жамылғандағы көріністің әсерлілігін айтып жеткізудің өзі қиын: елорданың бар жарқылы Есілдің",11
"""Мәңгілік ел"" салтанат қақпасы",https://kazakhstan.travel/tourist-spot/kk/179/mangilik-el-triumphal-arch,2,425.0,Нұр-Сұлтан,"""Мәңгілік ел""- Қазақстанның бар жетістіктері мен бағындырған белестерін бейнелейтін тарихи шежіре іспеттес.","Елордамыздағы ең танымал құрылыстардың бірі - ""Мәңгілік ел"" салтанат қақпасы. Тәуелсіздігіміздің 20-жылдық мерей тойына орай ашылған бұл нысанның мән-маңызы аса зор. Ол тәуелсіз тарихымызды ұлықтайды. Қақпаның жалпы биіктігі 20 метрге тең. Бұл өлшем де кездей соқ шешім емес: әр метр еліміздің егемен, зайырлы мемлекет ретінде өткерген әрбір жылын белгілеп тұр. Мұнда қала тұрғындары мен қонақтары Қазақстан мәдениеті, жас астананың тарихы жайлы білімдерін тереңдетіп, көрме залындағы туындыларды тамашалап,  ғимараттың ішкі-сыртқы көріністерінде бейнеленген әрбір иірім мен ою-өрнектен, әрбір мүсін мен сұлбадан ұлттық болмысымызды тани алады. Құрылыстың ең жоғарғы бөлігінде Нұр-Сұлтан қаласының бар кереметін көз алдыңызға келтіретін шолу алаңы орналасқан. Залдың өзінде орнатылған сенсорлы тақталар арқылы Әлемдегі басқа да салтанат қақпалары туралы ақпарат алып, елордамыздың өткені мен бүгіні жайлы қызықты мәліметтермен танысуға болады. ""Мәңгілік ел"" салтанат қақпасының басты тұжырымдамасы Қазақстанның даму тарихы, ұлттық жетістіктеріміз бен ұстанымдарымызға негізделген. Бұл айтулы орынға келіп, Қазақстан Республика",22
Назарбаев Орталығы,https://kazakhstan.travel/tourist-spot/kk/183/nazarbayev-ckkter,2,0.0,Нұр-Сұлтан,"Мұражай, Конференц-зал, Қазақстан Республикасының Тұңғыш Президенті Кітапханасы ","Елорданың төрінде бой көтерген әр ғимараттың көркем қалыбы мен жеткізер ойы келген қонақтарды да, астаналық тұрғындарды да таңқалдыруын тоқтатқан емес. Әйгілі британдық сәулетші Норман Фостердің жобасымен салынған Назарбаев Орталығынының өзі көкке зер салған көз жанарын бейнелейді. Бұл - Қазақстанның сарқылмас күш-қуатынының белгісі іспеттес. Орталықтың ішінде Қазақстанның тарихи мәдениетімен қатарлас жүзжылдықтар бойы қалыптасқан ""Мәңгілік ел"" ұлттық тұжырымдамасына арналған суреттер көрмесі бар. Назарбаев Орталығы негізінде ҚР Тұңғыш Президенті кітапханасы және құнды жәдігерлер мен жылдар бойы Елбасына тарту етілген сыйлықта",61
"""Табаған"" тау-шаңғы курорты",https://kazakhstan.travel/tourist-spot/kk/196/tabagan-ski-resort,13,0.0,Алматы,Алматы қаласының тұрғындары және қонақтары арасында аса танымалдылыққа «Табаған» тау шаңғы курорты ие.,"«Табаған» тау-шаңғы
курорты қала орталығынан небәрі 17 шақырым жерде орналасқандықтан, кешенге жылдам әрі еш қиындықсыз жетуге болады. Егер сіз сноуборт немесе шаңғы тебуді енді
үйреніп жүрсеңіз, онда Табаған жаттығу, жүріс икемін шыңдау немесе жай
ғана таза ауада уақыт өткізу үшін тамаша орын. Сонымен қоса, тау-шаңғы
курортында арқан жолмен және жыл бойы ашық тұратын шана төбешігімен сырғанауға болады; кешен аумағында
теннис корты, футбол және волейбол алаңдары орналасқан. 
Әр тұстан
тамашалуға болатын таңғажайып тау бөктері мен шыршалы ормандардың көрінісі,
тәжірибелі саяхатшылардың өзін таңдандырмай қоймайды. «Табаған» тау-шаңғы
курорты - деніңізді сауықтырып, демалысыңызды белсенді де сапалы өткізуге ",23
«Көрнекті Қайраткерлер Аллеясы» мемориалды кешені  ,https://kazakhstan.travel/tourist-spot/kk/205/alley-of-prominkkt-people,11,0.0,Алматы,Кеңес өкіметін орнатуға мүдделі халықтың көш басында болған қазақстандық қайраткерлердің мүсіндері орнатылған мемориалды кешен.,"Алматыдағы Панфилов көшесінде басты қалалық іс-шаралар мен концерттік қойылымдар өткізілетін «Астана» алаңы  орналасқан. Алаңның ең көрнекті сәулеттік композицияларының
бірі-1987 жылы негізі қаланған «Көрнекті қайраткерлер аллеясы» мемориалды
кешені. Кешенге Кеңес үкіметін орнатуға бағытталған қоғамдық қозғалыстың әйгілі
қазақстандық көшбасшыларының мүсіндік ескерткіштері орнатылған. Оның ішінде С.
Сейфуллин, Т.Рысқұлов, М. Фрунзе, А. Розбақиев, Д. Фурманов және өткен ғасырдың
басқа да танымал тұлғалары болды. Қола қапталған ескерткіштер ұсақ түйірлі
граниттен жасалып, әр ескерткіштің алдыңғы жағында қызметі мен саяси
жетістіктері әлем тарихы үшін үлкен мәнге ие",36
 Әли-Мұхаммед мешіті,https://kazakhstan.travel/tourist-spot/kk/209/ali-mohammed-mosque,1,0.0,Алматы,Ислам ғибадатханасының бейбіт атмосферасы ешкімді де немқұрайлы қалдырмайды,"Алматы қаласының Жетісу ауданында исламдық сәулет өнерінің бірегей туындысы - Әли-Мұхаммед мешіті бой түзеген. Ислам ордасында орнаған татулық пен тыныштық күйі ешбір келушіні бейжай қалдырмасы анық. Ал өз бейнесімен шығыс сәулетінің ең әсем қырларын айқындап тұрған  құрылыс әсемдігі әрбір көрген жанның шабытына қанат бітіретіндей. Мешітте мұсылман қауымы үшін аса маңызды еңбектер мен кітаптардың барлығы дерлік жинақталған. Ауласындағы көркем гүлзар, алма бағы, мүсінді субұрқақтар мешіттің сыртқы салтанатын арттырып тұр. Осындағы биік ағаштардың көлеңкесінде жайғасып, өзіңізбен іштей сұхба",13
Ә.Қастеев атындағы ҚР Мемлекеттік өнер мұражайы ,https://kazakhstan.travel/tourist-spot/kk/202/a-kasteyev-state-museum-of-arts,3,400.0,Алматы,Мұнда түрлі дәуірлерден аманат болған бейнелеу өнерінің  25 000 жауһары жиналған.,"Қазақстан Республикасының мемлекеттік өнер
мұражайы қазақ бейнелеу өнерінің негізін қалаушы – Әбілхан Қастеевтың атымен
аталады. Мұражай тарихы 1935 жылы, ҚазАКСР –на арналған көрме өткізу туралы Қаулы шыққан кезден басталады. Мұнда түрлі сипаттағы  25мыңнан астам бейнелеу өнерінің туындылары
ұсынылған, олар Қазақстан, Ресей, Азия және Батыс Еуропа халықтарының мәдени
рухын жеткізеді. Мұражайда белгілі қазақстандық суретшілер мен мүсіншілер: Ә.
Қастеев, Қ. Тельжанов, А. Степанова, Г. Исмаилова, Х. Наурызбаев және есімі
әлемге аян Сергей Калмыковтың 1500 шығармасы сақталған 14 көрме залы бар. Шығармашылық
мәдениет ошағының қазыналы қоры жаңа туындылармен үнемі толығып отырады,
сондықтан мұнда келген сайын сіз өзіңіз үшін бейнелеу өнері әлемінің жаңа және беймәлім, бірақ ә",76
«Шымбұлақ» тау-шаңғы курорты,https://kazakhstan.travel/tourist-spot/kk/195/shymbulak-ski-resort,4,0.0,Алматы,"Шаңғы спортына әуес , асқар тауларға асық әр адам Шымбұлақтың төрінде іздеген игілігін табары анық.","Саф ауамен тыныстап, көркем көріністерді тамашалап, Табиғат-Ананың аясында сарқылмас күш-қуатқа кенелгеннен асқан бақыт бар ма? Иә, егер сіз Шымбұлақта болсаңыз. Бұл тау-шаңғы курорты жоғарыда аталғанға қоса, тау шаңғысына керемет бейімделген бейкейлер мен әлемдік талаптарға сай спорт алаңдарын ұсынады.Іле Алатауы шатқалында, қала орталығынан небәрі 30 минут қашықта орналасқан тау-шаңғы курорты қысы-жазы қала тұрғындары мен қонақтарын қуантар қызықтарға толы. Тек жолға шықпастан бұрын, мұндағы ауа температурасы қаладан 10 градусқа төмен болатынын ескеріп, жылы киінсеңіз болғаны.Белсенді демалыс, әсем табиғат, ұмытылмас естелі",38
"""Ақ бұлақ"" тау-шаңғы курорты",https://kazakhstan.travel/tourist-spot/kk/197/ak-bulak-ski-resort,3,0.0,Алматы,"""Ақ бұлақ"" тау-шаңғы курорты туристердің жүрегін жылдам жаулап алып, Алматы облысының ең танымал көрнекті орындары қатарына қосылды.","""Ақ бұлақ"" тау-шаңғы курортында жергілікті табиғаттың сұлулығына тамсана жүріп белсенді және экстрималды спорттың түр-түрін байқап, таза ауада серуендеп, жарқын сәттерге қанық демалыс өткізе аласыз.Мұнда таулы аймаққа тән қатаңдық жоқ, ауа райы жайма-шуақ: қыс бойы қар жамылғысы қалың, таудан салқын самал еседі, аспаннан қашанда күн күлімдеп, қоршаған дүниені ыстық сәулелерімен нұрландырады. Келушілердің қауіпсіздігі мен жайлылығы үшін барлық жағдай жасалған ""Ақ бұлақ"" тау-шаңғы курорты отбасылық демалыс пен достар жиы",17
Көк базар,https://kazakhstan.travel/tourist-spot/kk/206/grekk-bazaar,1,0.0,Алматы,"
Заманауи үлгідегі шығыс базары","Зенков көшесіндегі
Көк базар – аты күллі Алматыға белгілі нағыз туристтік орын. Жүз жылдан аса
тарихы бар сауда нүктесі заманауи шығыс базары үлгісінде болса да, жергілікті
боямасы кетпеген. Мұнда сіз азық-түлік, киім, жиһаз, құрылыс жабдықтарын таба
аласыз, ал шаршап, ашықсаңыз  дәмді үй
тағамдарын әзірлейтін асханалардан дәм тата аласыз. Көк базарда орнаған ерекше
көңіл-күй мен алуандылықтың сан түрлі көріністері алматылықтар мен қала
қонақтарын әр келген сайын таңдай қақтырып, қоржындарын тауарға ғана емес, оған
қоса жарқын әсерлерге толтырып қайтарады. Бұл жерден Қазақстанның көп
ұлттылығын тамашалап қайтуға болады: жайдары өзбек саудагерлері кептірілген
жемістерін ұсынса, тәжіктер тәтті қауындар мен қарбыздардың дәмін татуға
шақырып, «қазақстандық» кәрістер өздерінің дәстүрлі дәмдеуіштері қосылған
салаттарымен қуантады. Бұл тізімді әлі де ұзақ жалғастыра беруге болады. 
Алматының көк
базары- қазақстандық сауда мәдениетінің өзіндік мұражайы іспеттес, бұл жерден
сауда жасамай шығу өте қиын, тәтті-дәмдіге толған сөрелерге көргеннен-ақ
",57
«Медеу» спорт кешені,https://kazakhstan.travel/tourist-spot/kk/198/medeu-skating-rink,2,0.0,Алматы,«Медеу» спорт кешені дүниежүзі бойынша ашық аспан астындағы ең үлкен биіктаулы мұз айдыны,"""Медеу"" - спорт үздіктерінің әлемдік рекордтары сияқты баршаға мәлім деректерден бастап, мұз айдынына шыққан әрбір жанның құпия сырын сақтаған алып кітап іспеттес әр келушісіне ұмытылмас оқиға сыйлайтын ғажайып мекен,Мұндағы ауа райы керемет: жайлы атмосфералық қысым, самал жел, қалыпты деңгейдегі күн радиациясы(денсаулығы сыр беріп жүргендерге де еш зияны жоқ). Медеуге қанша рет келсеңіз, сонша рет қайта оралуға ниет танытасыз. Алғашында өзіне тәнті еткен Іле Алатауының сұлулығы мен ""Медеу әлемі"" ендігіде сізді алшаққа жібермесі анық.Белсенді және
салауатты демалыс, сыпайы қызметкерлер, дәмді кофе, көркем көрініс, келушілердің жайдары да бақытты жүздері. Бір сөзбен:  Медеудің мың бояулы келбетін сөзбен жеткізу мүмкін емес, сіз оны өз к",37
"""Қылует"" этнографиялық мұражайы",https://kazakhstan.travel/tourist-spot/kk/216/kyluet-ethnographic-museum,1,750.0,Шымкент,"Бұл - әр келген қонағын ерекше ілтипатпен қарсы алып, Қазақстан мәдениеті тарихының мәлім де беймәлім қырларын тануға жол нұсқайтын ерекше орын.","Шымкенттегі этнографиялық мұражайды еш әсірелеусіз бірегей мәдениет ошағы дей аламыз. Оған негіз - мұражай экспозициясы мен ғимараты толықтай бір ғана адам - Кендебай Қарабдаловтың қолымен жасалуы. Кендебай Қарабдалов ұлттық мәдениетте мәңгіге сақталған қазақ халқының ежелгі тұрмыс-салтын бейнелейтін саздан жасалған түрлі тұрмыс бұйымдарын, құмыралар мен 10-нан артық музыкалық аспапты қайта жаңғыртқан. Мұражайдың бір бөлігі жер астында орналасқан қылует - жер асты мешіті болып табылады.Мұнда орнаған тыныштық келушілерге рухани үндестік сыйлап, көп дүниені ой елегінен өткізуге итермелейді. Қонақтар өзін қызықтырған кез келген аспаптың әуенін тыңдап, көзеші ұршығында қыш ыдыс жасаудан шебер",28
 Шымкент дендросаябағы,https://kazakhstan.travel/tourist-spot/kk/146/shymkkkt-dkkdrological-park,1,28.0,Шымкент,Әр келушісіне тыныштық пен үйлесімділік сыйлар жайлылығының арқасында қала тұрғындары мен қонақтарының сүйікті орнына айналған керемет орын,"Жыл өткен сайын табиғат аясындағы демалысқа деген сұраныс еселеп артып келеді. Көркем көріністермен тамсанып, таза ауамен тыныстап, қоршаған әлеммен арадағы үйлесімділікті сезіну - ереше жан рақатын сыйлайтыны даусыз. Шымкенттегі мемлекеттік дендросаябақ - жоғарыда аталғанның барлығын тоғыстырған бірегей орын. 1979 жылы қаланған күннен бері саябақта қоршаған орта байлығын сақтау мен еселеуге бағытталған ғылыми-зерттеу жұмыстары жүргізіліп келеді. Мұнда өсімдіктердің түр-түрін, тауыстар, тиіндер мен теңбіл бұғыларды көруге болады. Дендрарий орталығында катамаран бекеті бар  айдыны әсем көл орналасқан. Көлде тұқы тұқымдасына жататын дөңмаңдай балықтар тіршілік етеді. Айтарлықтай кең аумақты жайлаған дендросаябақта велосипедтерді жалға алып, серуендеуге болады. Келушілердің аталмыш екіаяқты ""серіктеріне"" арнайы жолдар да салынған.Шымкент мемлекеттік дендрологиялық саябағын еш күмәнсіз - Қазақстанның көрнекті орны мәртебесіне әбден лайық нысан, оңтүстік өң",12
Көне Сайрам қаласы,https://kazakhstan.travel/tourist-spot/kk/143/ancikkt-city-of-sayram,0,0.0,Шымкент,Ежелгі қала құрылысының жарқын үлгісі болған көне шаһар -бүгінде заманауи Шымкенттің айнымас бір бөлігі," Ерте ортағасырлық жазбалар Сайрамның алғашқы атауы - Испиджаб болғандығын дәйектейді. Сонау көне замандарда Ұлы Жібек жолындағы басты сауда және мәдениет орталықтарының бірі болған шаһардың күллі көшпелі өркениет үшін мән-маңызы аса жоғары болды. Содан болар, бұл өңірде кесенелер, киелі мазарлар, сәулет кешендері сияқты түрлі ортағасырлық  ескерткіштер өте көп. Бұл қатарда, салынуы ХІІ ғасырмен белгіленген Базалақ ата мешітінің мұнарасы ерекше орын алады. Қазіргі Сайрам да баға жетпес жәдігерлерге тұнып тұрған ашық аспан астындағы мұражай іспеттес. Осынау көне қала Қазақстан тарихына қызығушылық танытқан әрбір туристтің саяхатын ",58
" ""Жер Ана"" монументі",https://kazakhstan.travel/tourist-spot/kk/150/jer-ana-monumkkt,1,0.0,Шымкент,"""Жер-Ана"" монументі - туған жерге тағзым идеясын дәріптеудің озық үлгісі.","1)     
“Ордабасы“ алаңы- XVIII ғасырда  үш жүздің басын қосу туралы шарт  жасалған тарихи орын. Ол қазақтың ұлы билері – Қазыбек би, Төле би және Әйтеке би құрметіне аталған көшелерl34 қиылысында орналасқан.  Дәл
осы жерде 2009 жылы тәуелсіздіктің заманауи ескерткіші - “Жер-Ана” монументі
салтанатты түрде ашылды. Биіктігі 34 метрді құрайтын үш қырлы стелланың
ұшар басына «Жер-Ана» бейнесіндегі әйел сұлбалы мүсіні орнатылған. Ескерткіш Қазақстан
Республикасының тәуелсіздігін,  бүгінгі
күндегі қуатты  мемлекет бейнесін және
туған жермен бірлікте болу идеясын кейіптейді. “Жер-Ана” монументі
–  мемлекеттік егемендікті, шынайы патриотизм
сезімін және туған жердің тарихына деген құрметті сақтаудың қа",2
Абдул Хамид Каттани мешіті,https://kazakhstan.travel/tourist-spot/kk/156/abdulhamid-kattani-mosque,1,0.0,Шымкент,"
Абдул Хамид Каттани мешіті - бұл сабырлық, жарық пен тыныштық билеген орын. ","1)      Абдул
Хамид Каттани мешіті, Исламның үшінші негізі – мұсылман адамның мұқтаж  жандарға көмек көрсетуі – зекетті орындаудың
зор үлгісі болып табылады. Сауд Арабиясының тұрғыны Абдул Хамид Каттанидің
зекетінің арқасында Шымкентте 845,5 шаршы метр болатын үлкен мұсылман
ғибадатханасы тұрғызылды. Ол 2000 адамды сыйдыра алады. Құрылымы 7 бөлмеден
тұрады, олардың ішінде дәрістік сабақтар өткізілетін бөлмелер, кітапханалар
және намаз оқуға арналған кең бөлме бар. Мешіттің алтын жалатылған күмбезінің ішін
""Фатиха"" сүресі және Құрандағы танымал ""әл-Күрси"" аяты безендіреді.  ""Алла үйінің"" есіктері әрқашан ашық, сондықтан әрбір
адам осы жерде болып, рух",42
Түркістан облыстық өлкетану мұражайы,https://kazakhstan.travel/tourist-spot/kk/153/turkistan-regional-museum-of-local-history,1,125.0,Шымкент,Қазақстан Республикасындағы ең көне мұражайлардың бірі.,"1)     
1920
жылы ашылған өлкетану мұражайы Қазақстан Республикасындағы ең көне мұражайлардың
бірі болып табылады. Қазіргі таңда оның қорында 88 мыңнан аса құнды экспонат
бар. Барлығы 4 улкен көрме залына жайғастырылған. Палеонтологиялық
археология, этнография, Қазақ хандығының және Тәуелсіз Қазақстан тарихына
бағытталған әрбір зал  өзіндік тақырыпқа
ие. Мұнда ғылыми бағыттағы мақалалар мен кітаптар жинақталған көпшілікке
арналған үлкен кітапхана орналасқан. Сондай-ақ мұражайда экскурсиялық және
көрмелік қызмет көрсету департаменттері және археология мен тарих қорлары бар 5
мамандандырылған бөлім жұмыс жасайды. Тарихи-өлкетану мұражайының негізінде
қызықты экскурсиялық дәрістер өткізіледі, оның барысында барлық экспозициялық
залдардың көрнекті үлгілері жайында толық ақпарат беріледі. Облыстық
мұражайының  Түркістан әдеби-мәдени
мұражайы мен Түркістан округіндегі әдеби-мемориалдық мұражайды қоса
есептегенде, барлығы 8 филиалы бар. Облыстық тарихи-өлкетану мұражайының коллекциясы тұрақты түрде өсіп,
жаңартылатындықтан  келушілерді әрдайым жаңа,
жұмбаққа толы қызықты т",68
